City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,lospalos,-8.5186,127.0025,293.72,90,100,1.26,TL,1713818464
136,vorgashor,67.5833,63.95,256.37,97,33,3.24,RU,1713818012
137,kapa'a,22.0752,-159.319,299.14,71,20,8.23,US,1713818037
138,nuuk,64.1835,-51.7216,277.49,75,75,3.6,GL,1713817923
139,novodvinsk,64.4165,40.8122,275.01,84,91,6.17,RU,1713818466
140,queenstown,-31.8976,26.8753,288.62,85,70,1.71,ZA,1713818469
141,altai,46.3722,96.2583,277.65,28,91,9.7,MN,1713818263
142,fale old settlement,-9.3852,-171.2468,302.41,75,13,3.39,TK,1713818344
143,byron bay,-28.65,153.6167,290.77,82,57,3.38,AU,1713818471
144,bratsk,56.1325,101.6142,272.42,88,100,6.11,RU,1713818474
145,talnakh,69.4865,88.3972,253.26,88,88,0.74,RU,1713818027
146,leh,34.1667,77.5833,265.06,71,48,1.45,IN,1713818474
147,arteche,12.2645,125.4048,299.09,90,75,3.24,PH,1713818475
148,new norfolk,-42.7826,147.0587,284.1,98,100,1.32,AU,1713818303
149,enewetak,11.3474,162.3373,301.05,75,100,7.37,MH,1713818058
150,handan,36.6006,114.4678,290.11,38,100,3.82,CN,1713818476
151,zeribet el oued,34.6828,6.5111,296.62,26,88,4.97,DZ,1713818476
152,salinas,36.6777,-121.6555,295.93,73,75,8.75,US,1713818225
153,mandan,46.8267,-100.8896,291.14,25,20,13.38,US,1713818429
154,kununurra,-15.7667,128.7333,291.14,88,8,0.51,AU,1713818267
155,port blair,11.6667,92.75,300.17,94,70,1.03,IN,1713818479
156,wanning,18.8003,110.3967,298.34,94,68,4.72,CN,1713818480
157,dzhangala,49.2167,50.3333,291.08,63,99,4.72,KZ,1713818480
158,uliastay,47.7417,96.8444,274.29,47,31,0.51,MN,1713818483
159,port alfred,-33.5906,26.891,288.81,94,85,0.45,ZA,1713818035
160,longyearbyen,78.2186,15.6401,273.06,69,40,6.17,SJ,1713818143
161,houlton,46.1262,-67.8403,277.99,29,0,6.17,US,1713818484
162,mount pearl,47.5166,-52.7813,284.34,55,75,5.66,CA,1713818099
163,landeck,47.1301,10.5636,276.56,87,100,3.58,AT,1713818488
164,phan thiet,10.9333,108.1,298.12,83,98,1.25,VN,1713818489
165,qui nhon,13.7667,109.2333,297.99,86,87,1.95,VN,1713818437
166,mwaya,-9.55,33.95,296.13,83,27,1.36,TZ,1713818489
167,harstad,68.799,16.5293,273.24,56,91,4.92,NO,1713818490
168,hun,29.1268,15.9477,307.25,9,100,5.07,LY,1713818490
169,labytnangi,66.6572,66.4183,255.03,93,88,2.71,RU,1713817948
170,farafangana,-22.8167,47.8333,297.29,89,62,2.7,MG,1713818493
171,lillehammer,61.1146,10.4674,271.91,94,88,1.0,NO,1713818493
172,gaspe,48.8334,-64.4819,273.1,31,40,9.26,CA,1713818494
173,el calafate,-50.3408,-72.2768,278.37,70,3,2.38,AR,1713818105
174,ratnagiri,16.9833,73.3,300.48,76,3,5.27,IN,1713818377
175,bandarbeyla,9.4942,50.8122,301.33,80,97,3.21,SO,1713818496
176,jumla,29.2747,82.1838,279.14,72,49,2.12,NP,1713818346
177,mezhdurechenskiy,59.6,65.9333,268.63,63,67,3.06,RU,1713818498
178,geneina,13.45,22.45,304.02,13,21,4.29,SD,1713818498
179,adelaide,-34.9333,138.6,292.45,43,55,3.13,AU,1713818499
180,sukhobezvodnoye,57.0491,44.8891,285.06,93,98,1.97,RU,1713818499
181,mana,5.6592,-53.7767,298.71,90,100,2.77,GF,1713818500
182,college,64.8569,-147.8028,285.33,38,20,3.09,US,1713818072
183,opuwo,-18.0607,13.84,295.5,27,2,3.0,NA,1713818500
184,chernyshevsk,52.5243,117.0174,270.99,95,68,1.71,RU,1713818311
185,pionerskiy,54.9508,20.2275,275.06,89,100,7.46,RU,1713818501
186,rmi capitol,7.0893,171.3805,300.12,83,100,4.12,MH,1713818501
187,bowen,-20.0167,148.2333,297.32,77,87,8.64,AU,1713818502
188,aasiaat,68.7098,-52.8699,273.66,89,100,2.92,GL,1713818047
189,khorugh,37.4897,71.553,276.61,80,41,1.26,TJ,1713818502
190,petrolina,-9.3986,-40.5008,305.18,58,20,2.57,BR,1713818428
191,pacocha,-17.5833,-71.3333,295.23,68,0,5.14,PE,1713818048
192,nagamangala,12.8156,76.7575,297.35,74,4,2.44,IN,1713818503
193,roma,43.2128,-75.4557,285.83,34,0,3.6,US,1713818504
194,klaksvik,62.2266,-6.589,280.66,65,51,3.16,FO,1713818095
195,kurgan,55.45,65.3333,284.14,61,12,5.81,RU,1713818505
196,puerto colombia,10.9878,-74.9547,302.2,78,56,6.65,CO,1713818505
197,sooke,48.3746,-123.7276,287.99,63,15,6.17,CA,1713818505
198,mawlaik,23.6333,94.4167,296.98,60,41,0.52,MM,1713818505
199,ouistreham,49.2833,-0.25,280.7,61,0,2.06,FR,1713818506
200,vallenar,-28.5708,-70.7581,294.59,32,0,2.87,CL,1713818508
201,ghadamis,30.1337,9.5007,293.01,53,99,8.02,LY,1713818508
202,tolanaro,-25.0319,46.9987,295.19,88,40,0.0,MG,1713818130
203,tsiombe,-25.3,45.4833,292.26,89,11,1.98,MG,1713818509
204,nadym,65.5333,72.5167,262.02,91,100,9.04,RU,1713818402
205,delijan,33.9905,50.6838,288.32,56,100,2.36,IR,1713818511
206,hammerfest,70.6634,23.6821,269.4,74,0,5.14,NO,1713818145
207,kisangani,0.5167,25.2,298.71,66,35,0.28,CD,1713818512
208,belem de sao francisco,-8.7539,-38.9658,302.7,58,100,4.35,BR,1713818513
209,birjand,32.8663,59.2211,291.41,34,20,0.0,IR,1713818513
210,cabedelo,-6.9811,-34.8339,302.52,78,73,4.32,BR,1713818513
211,taltal,-25.4,-70.4833,293.24,78,33,2.48,CL,1713818420
212,mersa matruh,31.3525,27.2453,294.26,78,0,6.69,EG,1713818515
213,pedro ii,-4.4247,-41.4586,295.51,92,97,1.05,BR,1713818517
214,konibodom,40.2843,70.4426,296.45,37,100,2.37,TJ,1713818517
215,walvis bay,-22.9575,14.5053,290.68,72,0,4.12,NA,1713818517
216,morondava,-20.2833,44.2833,297.42,77,0,2.83,MG,1713818163
217,el porvenir,13.7617,-87.3458,305.78,65,100,0.27,HN,1713818518
218,mbekenyera,-10.0,38.9833,295.16,98,100,1.34,TZ,1713818518
219,gamba,-2.65,10.0,299.61,88,100,1.93,GA,1713818519
220,inhambane,-23.865,35.3833,296.09,79,29,4.3,MZ,1713818519
221,flying fish cove,-10.4217,105.6791,297.97,94,100,5.14,CX,1713818519
222,zambezi,-13.5432,23.1047,293.36,61,31,1.97,ZM,1713818523
223,inirida,3.8653,-67.9239,302.09,73,94,2.13,CO,1713818523
224,bhamo,24.2667,97.2333,298.14,50,2,0.58,MM,1713818525
225,saint-philippe,-21.3585,55.7679,296.92,86,35,1.59,RE,1713818133
226,bom jesus,-9.0744,-44.3586,302.07,60,96,1.09,BR,1713818529
227,san patricio,28.017,-97.5169,296.55,60,100,4.64,US,1713818354
228,lata,40.1629,-8.3327,285.0,60,4,2.36,PT,1713818093
229,brazzaville,-4.2658,15.2832,300.35,74,40,3.09,CG,1713818531
230,jamestown,42.097,-79.2353,286.77,35,0,4.63,US,1713817945
231,nova sintra,14.8667,-24.7167,296.07,72,70,5.76,CV,1713818253
232,akrehamn,59.2667,5.1833,279.49,87,75,3.09,NO,1713818535
233,jian'ou,27.0469,118.3253,292.04,97,56,1.05,CN,1713818535
234,codrington,-38.2667,141.9667,285.75,43,100,6.02,AU,1713818513
235,lignano sabbiadoro,45.6922,13.1481,281.2,56,100,8.95,IT,1713818537
236,ambon,-3.6954,128.1814,298.23,100,40,1.54,ID,1713818538
237,saipan,15.1355,145.701,300.54,78,0,5.14,MP,1713818158
238,neiafu,-18.65,-173.9833,301.53,74,20,5.66,TO,1713818539
239,puerto deseado,-47.7503,-65.8938,283.88,66,40,6.12,AR,1713817944
240,coahuayana de hidalgo,18.7,-103.6583,304.14,49,1,3.53,MX,1713818541
241,kosonsoy,41.2561,71.5508,289.46,65,100,3.0,UZ,1713818541
242,hithadhoo,-0.6,73.0833,301.16,77,100,1.0,MV,1713818039
243,nema,57.5067,50.5011,285.55,81,100,3.6,RU,1713818542
244,nar'yan-mar,67.6713,53.087,255.99,99,66,2.68,RU,1713818284
245,lihue,21.9789,-159.3672,298.73,63,20,8.23,US,1713818027
246,saynshand,44.8824,110.1163,277.12,41,4,4.52,MN,1713818543
